System timestamp: 2022-01-31 21:37:39.060305, Packet Type: 00, Millisec: 0, Sec: 0, Error Val: 251, Error Calc: 251, Error: False, Millideg: 9431, Degrees: 9
System timestamp: 2022-01-31 21:37:39.061304, Packet Type: 00, Millisec: 5, Sec: 0, Error Val: 253, Error Calc: 253, Error: False, Millideg: 9428, Degrees: 9
System timestamp: 2022-01-31 21:37:39.061304, Packet Type: 00, Millisec: 10, Sec: 0, Error Val: 25, Error Calc: 25, Error: False, Millideg: 9196, Degrees: 9
System timestamp: 2022-01-31 21:37:39.062303, Packet Type: 00, Millisec: 15, Sec: 0, Error Val: 27, Error Calc: 27, Error: False, Millideg: 9958, Degrees: 9
System timestamp: 2022-01-31 21:37:39.063303, Packet Type: 00, Millisec: 20, Sec: 0, Error Val: 172, Error Calc: 172, Error: False, Millideg: 9077, Degrees: 9
System timestamp: 2022-01-31 21:37:39.064304, Packet Type: 00, Millisec: 25, Sec: 0, Error Val: 75, Error Calc: 75, Error: False, Millideg: 9485, Degrees: 9
System timestamp: 2022-01-31 21:37:39.065303, Packet Type: 00, Millisec: 30, Sec: 0, Error Val: 250, Error Calc: 250, Error: False, Millideg: 9400, Degrees: 9
System timestamp: 2022-01-31 21:37:39.066302, Packet Type: 00, Millisec: 35, Sec: 0, Error Val: 92, Error Calc: 92, Error: False, Millideg: 9747, Degrees: 9
System timestamp: 2022-01-31 21:37:39.066302, Packet Type: 00, Millisec: 40, Sec: 0, Error Val: 213, Error Calc: 213, Error: False, Millideg: 9098, Degrees: 9
System timestamp: 2022-01-31 21:37:39.067304, Packet Type: 00, Millisec: 45, Sec: 0, Error Val: 143, Error Calc: 143, Error: False, Millideg: 9278, Degrees: 9
System timestamp: 2022-01-31 21:37:39.067304, Packet Type: 00, Millisec: 50, Sec: 0, Error Val: 62, Error Calc: 62, Error: False, Millideg: 9958, Degrees: 9
System timestamp: 2022-01-31 21:37:39.068305, Packet Type: 00, Millisec: 55, Sec: 0, Error Val: 101, Error Calc: 101, Error: False, Millideg: 9226, Degrees: 9
System timestamp: 2022-01-31 21:37:39.068305, Packet Type: 00, Millisec: 60, Sec: 0, Error Val: 182, Error Calc: 182, Error: False, Millideg: 9047, Degrees: 9
System timestamp: 2022-01-31 21:37:39.069304, Packet Type: 00, Millisec: 65, Sec: 0, Error Val: 157, Error Calc: 157, Error: False, Millideg: 9017, Degrees: 9
System timestamp: 2022-01-31 21:37:39.070302, Packet Type: 00, Millisec: 70, Sec: 0, Error Val: 129, Error Calc: 129, Error: False, Millideg: 9239, Degrees: 9
